date,spread,vix
2018-01-04,-0.002072162879063125,18.05
2018-01-05,-0.0003275764829381582,16.77
2018-01-09,-0.010134912867358094,17.13
2018-01-10,0.0038538521941794243,17.5
2018-01-11,-0.005694253184786546,18.39
2018-01-12,0.016334201979977443,16.27
2018-01-15,0.0031844855745436903,17.8
2018-01-16,0.0021654404304049784,18.35
2018-01-17,0.00036045128891163834,18.41
2018-01-18,-0.0034657074400364723,18.46
2018-01-19,0.00368191586580037,17.7
2018-01-22,-0.002272523297426275,18.78
2018-01-23,0.0009024131137422916,18.72
2018-01-24,0.004751286744002814,18.89
2018-01-25,-0.0035613470020438515,18.11
2018-01-26,0.006036018757194861,19.54
2018-01-29,-0.0010034764129157536,18.86
2018-01-30,0.0026856227983655407,18.74
2018-01-31,-0.0015388747780556197,19.34
2018-02-01,0.002611107626771141,19.75
2018-02-02,0.006622304972080087,18.83
2018-02-05,0.007072165261362533,19.51
2018-02-06,-0.008208367627594065,24.57
2018-02-07,0.0042541187243052584,22.48
2018-02-08,0.011746222622135651,22.82
2018-02-09,-0.0006645099483836125,24.34
2018-02-12,-0.005156187435123222,25.24
2018-02-13,0.001967398048870677,23.03
2018-02-14,-0.008352913034300717,23.52
2018-02-15,-0.00166480742629231,23.31
2018-02-16,-0.008115656418179155,21.64
2018-02-19,0.0016069997208883664,22.25
2018-02-20,-0.003968613871771127,22.09
2018-02-21,-0.0007167431499498769,21.38
2018-02-22,-0.0015068348562024293,22.46
2018-02-26,-0.01530392922990095,21.42
2018-02-27,0.004038645450109387,21.65
2018-02-28,-0.0013080446600152301,22.91
2018-03-01,0.01314762852737907,21.54
2018-03-02,0.005724933340414804,23.91
2018-03-05,-0.006586507201867371,22.7
2018-03-06,0.009863563636044008,21.53
2018-03-07,0.0028763713657854535,22.71
2018-03-09,-0.01073074948092961,21.59
2018-03-12,0.005433241847343926,22.85
2018-03-13,0.00752897938218004,22.23
2018-03-14,0.0002830055204965353,25.79
2018-03-15,-3.5371310334080594e-05,26.09
2018-03-16,-0.00042455334088964994,24.02
2018-03-19,0.00957922450872014,23.44
2018-03-20,-0.012946648777950471,21.81
2018-03-21,-0.0031294477887116685,20.35
2018-03-22,0.0036973876023591833,22.25
2018-03-23,0.004037261566208261,21.57
2018-03-26,0.005849824624963868,21.81
2018-03-27,0.0027369398466769767,22.79
2018-03-28,-0.004636142049447184,22.02
2018-03-29,-0.007668559534305914,21.72
2018-03-30,-0.000567758434044032,21.73
2018-04-02,0.0042150066831573504,21.29
2018-04-03,-0.0010609330131891555,21.98
2018-04-04,-0.00134546633617358,21.36
2018-04-05,0.0008499788017045162,21.86
2018-04-06,0.010704327561773879,21.4
2018-04-09,0.04546237407675741,44.66
2018-04-10,0.04130380614123558,43.96
2018-04-11,-0.004989949991781306,40.75
2018-04-12,-0.013549506269472007,37.24
2018-04-13,0.001699680084938767,38.26
2018-04-16,-0.010901795762570679,37.88
2018-04-17,0.005400078976999118,32.08
2018-04-18,-0.011194701240661823,31.44
2018-04-19,-0.001229460687523872,32.73
2018-04-20,0.0036507292214560047,31.85
2018-04-23,-0.00046389874585202545,31.23
2018-04-24,-0.0006630860265503121,30.45
2018-04-25,0.007072305495161687,29.33
2018-04-26,-0.00042820205203127336,27.91
2018-04-27,-0.0062461990675642415,26.88
2018-04-28,0.003838268228847555,28.71
2018-04-30,0.004875808565806584,28.28
2018-05-02,0.005375299733936118,26.91
2018-05-03,-0.011837570821803036,25.78
2018-05-04,-0.010507511717766595,26.96
2018-05-07,0.002970580112055063,27.14
2018-05-08,-6.665777898764568e-05,26.81
2018-05-10,-0.01989462232851279,18.22
2018-05-11,0.005966119391645293,21.57
2018-05-14,-0.0025719134312466893,19.49
2018-05-15,-0.0002711129201911443,22.68
2018-05-16,-0.011899422700064072,21.0
2018-05-17,0.00574576634609185,21.53
2018-05-18,-0.0004775549278916503,21.84
2018-05-21,-0.009082714574319138,21.86
2018-05-22,-0.007499473554759865,22.95
2018-05-23,-0.005112432231820734,21.19
2018-05-24,0.00660297794342412,22.27
2018-05-25,0.005457887741046674,23.27
2018-05-28,-0.002310784107794497,23.98
2018-05-29,0.00017263107056885024,25.68
2018-05-30,-0.0006216113747833853,24.41
2018-05-31,0.008359325582979249,24.36
2018-06-01,-0.005634011261405106,23.91
2018-06-04,0.000585490192544861,23.73
2018-06-05,0.0026133018104848695,23.84
2018-06-06,-0.0009276279159675244,23.17
2018-06-07,0.01240002907820437,24.64
2018-06-08,-0.004184462381555513,26.59
2018-06-09,0.004489956180710017,26.34
2018-06-11,0.004976566290975345,26.15
2018-06-13,-0.0052820600901299156,23.83
2018-06-14,-0.015601794504248027,14.68
2018-06-15,0.01141733212269245,18.76
2018-06-18,0.006049913089564202,20.37
2018-06-19,0.003382838718693387,22.63
2018-06-20,-0.004264254464956531,24.39
2018-06-21,0.0029124918989439077,23.89
2018-06-22,-0.00852427433296084,25.36
2018-06-25,0.0020102563883164807,24.95
2018-06-26,-0.0003404371245517373,24.72
2018-06-27,-0.004299467484366874,23.8
2018-06-28,-0.006208749899344353,23.42
2018-06-29,0.008701963165099734,22.87
2018-07-02,0.0067990471325165445,22.73
2018-07-03,-0.00251026286029889,23.55
2018-07-04,0.0007808919540552673,22.25
2018-07-05,0.001695490402775955,23.42
2018-07-06,0.00287575263736209,22.97
2018-07-09,-0.007460190584283422,21.03
2018-07-10,-0.012191096813005127,21.86
2018-07-11,0.003714152422942461,21.7
2018-07-12,-0.002474568213531789,21.98
2018-07-13,0.0060381684760083985,20.87
2018-07-16,-0.0013691130287595442,22.15
2018-07-17,-0.00041109969746501066,22.88
2018-07-18,0.005058456339632337,23.6
2018-07-19,0.010985395616878155,21.67
2018-07-20,0.004172561407431759,23.08
2018-07-23,-0.00934507416541201,24.01
2018-07-24,0.002944513321667169,24.13
2018-07-25,-0.00406366966251491,24.88
2018-07-26,-0.00523935468599949,24.45
2018-07-27,-0.0008190008647803975,23.88
2018-07-30,-0.005202640431764709,23.83
2018-07-31,0.0040412397888356195,22.9
2018-08-01,0.0049776789559470664,23.28
2018-08-02,-0.001361285263306384,24.72
2018-08-03,-0.0024891326465261493,23.94
2018-08-06,0.00541360849558692,24.04
2018-08-07,0.0003395009368886576,24.21
2018-08-08,0.03305258312142164,25.84
2018-08-09,0.010746645098080414,26.55
2018-08-10,0.003923544649713375,28.73
2018-08-13,0.0010027333407990804,28.64
2018-08-14,-0.026768737343647337,23.51
2018-08-15,0.014047119889634729,31.61
2018-08-16,-0.004923692861784723,26.63
2018-08-17,0.009529963563283858,28.72
2018-08-20,0.00503926810503032,27.18
2018-08-21,0.009810327808836464,26.61
2018-08-22,0.013397329571821343,27.6
2018-08-23,-0.0019664442252845925,28.96
2018-08-24,-0.010147188122758454,25.93
2018-08-27,0.011733331906113975,25.15
2018-08-28,0.006067519562518481,25.42
2018-08-29,0.002957185909399625,26.11
2018-08-30,0.0005338776918830864,26.13
2018-08-31,-0.01588641005600042,25.95
2018-09-03,0.00980851262000127,25.06
2018-09-04,-0.0027835786936463705,26.25
2018-09-05,0.005874381292966802,26.97
2018-09-06,0.013884768687495753,29.46
2018-09-07,0.003719781102532082,29.2
2018-09-10,0.01266695901224072,30.82
2018-09-11,-0.01511425813800921,31.48
2018-09-12,-0.00463215663571638,28.04
2018-09-13,-0.005687337601257361,26.7
2018-09-14,-0.008497297390699156,26.15
2018-09-17,0.004981251827064281,26.79
2018-09-18,-0.011576912470358745,26.98
2018-09-19,-0.007472492059481578,25.01
2018-09-20,0.0005767936840784487,24.58
2018-09-21,0.0003202972385729565,24.79
2018-09-24,-0.008975017219909003,25.92
2018-09-25,0.0024205663031396183,25.93
2018-09-26,-0.003811004838578949,27.24
2018-09-27,-0.01152093974637591,25.54
2018-09-28,-0.00360715262411935,24.68
2018-10-01,-0.011897033911845942,25.33
2018-10-02,0.005569567506992754,26.17
2018-10-03,0.00013223140515113878,26.43
2018-10-04,0.019898548941231747,28.55
2018-10-05,-0.005719500837965016,28.02
2018-10-08,-0.0030028092280589853,29.59
2018-10-09,-0.004324189401974983,29.58
2018-10-10,0.011781928361914261,30.49
2018-10-11,-0.0031521676924944854,30.72
2018-10-12,-0.005057684577698351,27.29
2018-10-15,-0.005543815146561172,27.95
2018-10-16,-0.0050786640836273135,25.89
2018-10-17,-0.0043737644276972045,26.52
2018-10-18,0.0018578732701181914,27.32
2018-10-19,-6.629321491367016e-05,26.03
2018-10-22,-0.008421733114060938,28.99
2018-10-23,0.004302946981770237,30.19
2018-10-24,-0.0038350638103443998,27.82
2018-10-25,-0.002743577738088459,29.1
2018-10-26,0.004446160399119151,31.41
2018-10-29,-0.0008342371385634155,29.78
2018-10-30,-0.006598252130382644,30.13
2018-10-31,0.0025506793262330546,27.3
2018-11-01,0.005048573888734645,26.57
2018-11-02,0.006283369797409607,26.09
2018-11-06,0.0008612979629411439,27.21
2018-11-07,0.004954593124683395,26.9
2018-11-08,0.0013170894231942796,28.7
2018-11-09,0.013790617562017713,25.98
2018-11-12,-0.010571060919160324,27.08
2018-11-13,0.008491787915326475,30.17
2018-11-14,-0.011908797416955576,27.81
2018-11-15,-0.016961091665906893,26.27
2018-11-16,0.008898130794326158,25.57
2018-11-19,-0.0034565309607117864,25.83
2018-11-20,0.002062062126889452,27.1
2018-11-21,-0.006466473651319789,25.6
2018-11-22,0.0012031282782752409,25.25
2018-11-23,0.0026684472138335264,26.52
2018-11-26,0.012447194602222511,28.63
2018-11-27,-0.0035594263405714136,29.81
2018-11-28,0.005761237972962793,28.41
2018-11-29,-0.009996289300174474,27.5
2018-11-30,0.004367108111820808,26.48
2018-12-03,-0.0040355980806066555,28.3
2018-12-04,0.004959507603201221,27.54
2018-12-05,-0.0035683643229692764,28.69
2018-12-06,0.007518336542283569,28.39
2018-12-07,-0.004708835280955319,27.48
2018-12-10,-0.0009906876181777142,26.7
2018-12-11,-0.006862625769523426,27.18
2018-12-12,0.00501071214788503,26.94
2018-12-13,-0.003946740774738325,25.32
2018-12-14,0.0031851387246467217,25.92
2018-12-17,0.003637209313509955,25.89
2018-12-18,0.008970143440554714,26.61
2018-12-19,0.004862061102784826,28.41
2018-12-20,0.019726031225520774,27.44
2018-12-21,-0.0012774656821578664,25.77
2018-12-24,-0.0007352823975393642,25.16
2018-12-25,0.0010548018430157546,28.02
2018-12-26,-0.0032318476844540684,27.49
2018-12-27,0.01951916232153313,27.31
2018-12-28,0.001633063612730076,27.59
2018-12-29,0.004008523468455755,27.58
2019-01-03,-0.021960849069033415,27.86
2019-01-04,-0.012279164247839229,27.93
2019-01-08,-0.009717491440165095,25.96
2019-01-09,0.007126732518345207,25.81
2019-01-10,-0.0024999607182643576,24.72
2019-01-11,-0.0026691855305631174,24.99
2019-01-14,0.0026366773628830613,25.0
2019-01-15,-0.006490246678873131,25.57
2019-01-16,-0.01042652562418797,24.8
2019-01-17,-0.0003306878337011798,24.65
2019-01-18,-0.003943601737300312,21.42
2019-01-21,0.0021228613518269055,21.6
2019-01-22,0.0014568574194508508,22.75
2019-01-23,-0.004244038200479234,22.96
2019-01-24,-0.011327874126708179,22.72
2019-01-25,0.012390573482830198,22.51
2019-01-28,0.00542867933677982,22.4
2019-01-29,-0.003107954229298312,23.41
2019-01-30,-0.003416652022543894,23.66
2019-01-31,-0.005297275468000294,21.87
2019-02-01,0.0032350075737225046,21.73
2019-02-04,-0.001099395443300951,22.39
2019-02-05,-0.0016012813669738792,20.73
2019-02-06,0.00030043563392579987,21.82
2019-02-07,-0.0016367982542947526,22.68
2019-02-08,-0.003784901773483978,22.77
2019-02-11,-0.0037992816987553624,23.42
2019-02-12,0.005810747729462939,21.98
2019-02-13,0.003410233997071214,22.81
2019-02-14,0.004960806564535235,26.12
2019-02-15,-0.004693828421784757,22.62
2019-02-18,0.0007671653617531704,23.21
2019-02-19,-0.005416080906953721,22.83
2019-02-20,-0.001476114062981269,24.26
2019-02-21,-0.002083684168453026,23.76
2019-02-22,-0.002964961740812272,23.9
2019-02-25,0.004309770980604289,24.0
2019-02-26,0.005695348571940537,23.53
2019-02-27,-0.0008689549692861531,23.58
2019-02-28,0.0030713785244863745,23.4
2019-03-01,-0.0016680571006970587,22.73
2019-03-04,-0.004417086555250942,23.21
2019-03-05,-0.002821065815048397,23.09
2019-03-06,0.003290470685360741,23.04
2019-03-07,-0.005917177028088507,22.97
2019-03-11,0.0008089524507486935,23.04
2019-03-12,-0.0019560897943987554,22.41
2019-03-13,0.0006074719231050317,21.72
2019-03-14,-0.0003374388424121295,21.54
2019-03-15,-0.009290406902657505,19.72
2019-03-18,-0.005602255548669787,22.48
2019-03-19,0.0015745339552774745,22.3
2019-03-20,-0.0031858615919110028,22.17
2019-03-21,-0.00326488819959287,20.49
2019-03-22,0.006074456278126592,22.68
2019-03-25,-0.0076591880667005435,22.19
2019-03-26,0.0011026879132479085,21.77
2019-03-27,0.004261467717863281,22.98
2019-03-28,-0.0006517898723057212,22.86
2019-03-29,0.010989121575595165,22.99
2019-04-01,-0.007939659720592308,23.94
2019-04-02,0.00116251252535521,24.14
2019-04-03,0.0017753504150939254,23.07
2019-04-04,0.0025890864091660313,23.3
2019-04-05,-0.002452651454319179,21.95
2019-04-08,-0.0031427230894793983,21.02
2019-04-09,0.0008549785921201519,19.64
2019-04-10,-0.008962202660522616,20.64
2019-04-11,0.0034089181299501847,18.84
2019-04-12,-0.0004125838119382811,19.72
2019-04-15,-0.0009289364346589735,19.75
2019-04-16,-0.004242775547564591,20.33
2019-04-17,-0.0030812397796089073,20.92
2019-04-18,-0.003960676407117244,20.37
2019-04-19,0.0032669545617449646,19.86
2019-04-22,-0.003092911363784012,19.8
2019-04-23,-0.004604927028041113,20.35
2019-04-24,0.003629894739909597,20.55
2019-04-25,0.0030264577046240433,19.18
2019-04-26,0.00270561058594236,19.14
2019-04-29,-0.0011784688203148722,19.91
2019-04-30,0.005912982528315687,19.41
2019-05-02,0.008342966353711938,20.68
2019-05-03,-0.0024647417653604784,18.21
2019-05-06,0.0017122705460814543,18.92
2019-05-07,0.0011626715395176453,20.91
2019-05-08,-0.004040963000315455,20.58
2019-05-10,0.003904248255417344,24.81
2019-05-13,0.00422948989865108,24.98
2019-05-14,-0.009575996568284475,17.82
2019-05-15,-0.0041667444365210225,19.37
2019-05-16,-0.0033182429949148023,20.14
2019-05-17,0.00031155344258932587,19.49
2019-05-20,-0.002356366742808274,20.11
2019-05-21,-0.0020837682055445464,20.27
2019-05-22,-0.0012175396769578916,19.44
2019-05-23,0.009664588449205558,21.81
2019-05-24,-0.003660857136356537,21.02
2019-05-27,-0.001974129167285915,20.43
2019-05-28,0.0018011157929207352,22.06
2019-05-29,0.0010376315264143787,21.7
2019-05-30,0.003209832427853944,20.54
2019-05-31,0.006662798972577092,20.31
2019-06-03,0.00590435325624846,23.17
2019-06-04,-0.0022825226664166904,24.12
2019-06-05,0.0010226692556547948,23.91
2019-06-06,-0.0005452934495419914,22.94
2019-06-07,0.0016009541016309846,23.08
2019-06-10,-0.0024194522033932114,22.76
2019-06-11,-0.0018782554826016994,22.52
2019-06-13,-0.004419253179810877,21.04
2019-06-14,-0.00882825238554485,21.44
2019-06-17,-0.0002771426609577096,21.71
2019-06-18,-0.006325835282466349,21.12
2019-06-19,-0.001675042267694955,22.31
2019-06-20,-0.007748579343457794,22.16
2019-06-21,0.008760919506363606,21.52
2019-06-24,-0.004931718080535325,21.73
2019-06-25,0.0018216217466309982,22.19
2019-06-26,0.003912258727602165,21.64
2019-06-27,-0.00013946028890875488,21.51
2019-06-28,0.001985475337444673,21.84
2019-07-01,-0.010951632350138385,20.49
2019-07-02,0.005053351573421438,21.32
2019-07-03,-0.00042013865193324444,20.6
2019-07-04,0.0032514668974135555,20.88
2019-07-05,0.0007676204145244654,20.27
2019-07-08,-0.004299277843331256,19.74
2019-07-09,0.003217460983623702,19.62
2019-07-10,-0.007324242936277217,20.02
2019-07-11,-0.005608183578826806,18.31
2019-07-12,0.004094605085395745,18.06
2019-07-15,-0.005971010727024873,18.6
2019-07-16,0.0016641590102476052,19.12
2019-07-17,-0.0002476780198422109,19.76
2019-07-18,0.0021209665415001435,19.8
2019-07-19,-0.0017317857621181147,19.13
2019-07-22,0.0008485963312436962,19.79
2019-07-23,-0.003966291763829548,19.75
2019-07-24,0.0005675771702563217,19.76
2019-07-25,-0.0008514866050542604,20.19
2019-07-26,0.0009224111059527337,19.87
2019-07-29,0.0031157085111650088,20.32
2019-07-30,0.001448328493809029,20.43
2019-07-31,-0.0045640370049739466,20.5
2019-08-01,0.011774380748554648,20.8
2019-08-02,0.015889078299343516,23.68
2019-08-05,0.012102659082088284,23.91
2019-08-06,-0.003413671642984873,24.32
2019-08-07,0.0009570032858363635,22.4
2019-08-08,-0.006202579726386839,23.83
2019-08-09,0.005108786891058604,22.71
2019-08-12,0.003414137833257897,21.59
2019-08-13,-0.01110437073423424,23.59
2019-08-14,0.013963265881364057,25.0
2019-08-15,-0.0021774641156504307,25.18
2019-08-16,0.00482485391154244,22.95
2019-08-19,0.00453178089655327,22.91
2019-08-20,-0.0030076226987354325,21.36
2019-08-21,-0.012807150767286281,20.92
2019-08-22,-0.0033995534345733092,20.78
2019-08-23,0.011355207858025832,21.09
2019-08-26,-0.002929057644001924,21.34
2019-08-27,0.005340784555595337,23.03
2019-08-28,0.0032178874409511987,22.17
2019-08-29,-0.004270179667926366,21.05
2019-08-30,-0.0035724652253855955,20.37
2019-09-02,-0.0012277891109579813,21.38
2019-09-03,-0.0001706455525376618,20.64
2019-09-04,-0.002665847985024897,19.73
2019-09-05,0.00023953325349349263,19.82
2019-09-06,-0.007831592942737532,20.05
2019-09-09,-0.0013457791157936577,19.82
2019-09-10,-0.001728011489260968,20.15
2019-09-11,-0.0025976289608787423,20.64
2019-09-12,-0.0069252595334374145,21.15
2019-09-13,-0.004304543908841773,20.24
2019-09-16,-0.011925063699256801,20.18
2019-09-17,0.011749689713784199,20.59
2019-09-18,-0.007534981602881651,20.29
2019-09-19,-0.0013439436151930753,20.22
2019-09-20,-0.0012040087859805102,20.71
2019-09-23,-0.0054716782455266864,20.62
2019-09-24,0.004443582790262208,21.12
2019-09-25,-0.0036600790641524304,20.62
2019-09-26,-0.0013537104414882905,20.52
2019-09-27,0.00876653766116192,19.89
2019-09-30,-0.0011667993898666874,19.54
2019-10-01,0.010137362421069314,20.07
2019-10-02,0.0005601848756532828,21.23
2019-10-03,-0.0003150653786716788,22.48
2019-10-04,-0.006357479132113286,21.28
2019-10-07,0.0042895885191236655,20.52
2019-10-08,0.0021729234358432176,21.55
2019-10-09,-0.0030855564452367265,20.54
2019-10-10,-0.003482669342483673,18.16
2019-10-11,-0.0010224769511334626,18.44
2019-10-14,0.00042322071591715876,18.78
2019-10-15,0.0003525471568331744,18.14
2019-10-16,0.0006694973734454212,19.72
2019-10-17,0.005445010203393665,19.25
2019-10-18,-0.002314897038796061,18.9
2019-10-21,-0.002601879038955517,19.42
2019-10-22,-0.0014092448780970424,17.65
2019-10-23,0.0033085806817492944,18.12
2019-10-24,-0.0003514567920054746,19.05
2019-10-25,-0.0056048228223486915,17.81
2019-10-28,0.0006714137043928688,20.38
2019-10-29,0.003737531236347098,19.51
2019-10-30,0.0021445278833605694,19.19
2019-10-31,0.004450136117497625,19.52
2019-11-01,-0.007756738257875346,20.82
2019-11-05,-0.009025491744812207,21.33
2019-11-06,0.005460425580316112,20.02
2019-11-07,-0.007952328190495035,19.73
2019-11-08,0.0026341096638884524,20.43
2019-11-11,0.0024144309414039877,21.19
2019-11-12,0.0026208621341712005,21.43
2019-11-13,0.0014138274658215206,20.84
2019-11-14,-0.004105619131533126,20.46
2019-11-15,0.0001418540324388978,20.8
2019-11-18,0.002726775420431621,21.18
2019-11-19,-0.00010609891965878223,21.3
2019-11-20,0.0002121865835313072,21.3
2019-11-21,-0.00400376108385195,21.31
2019-11-22,-3.5503168661465235e-05,20.39
2019-11-25,0.00021300010730538908,20.86
2019-11-26,0.001064320531874342,20.22
2019-11-27,-0.002307461220127132,19.79
2019-11-28,0.0025556397681382103,19.35
2019-11-29,0.004915404984960176,18.94
2019-12-02,0.003802553698144521,19.19
2019-12-03,-0.0004921086956494294,20.67
2019-12-04,-0.0037338449100268287,19.7
2019-12-05,-0.0011299436230482256,19.52
2019-12-06,-0.0036811594733616657,19.96
2019-12-09,-0.002129926257824965,21.01
2019-12-10,0.001562389352693473,20.65
2019-12-11,-0.00014193456840221543,20.27
2019-12-12,-0.007122537233199022,19.92
2019-12-13,-0.000428969764210143,19.99
2019-12-16,-0.004443496166704952,19.1
2019-12-17,-0.0003232816709488686,20.19
2019-12-18,0.0006823609954290869,19.69
2019-12-19,-0.003200347937329835,19.81
2019-12-20,-0.0063953391245256145,18.24
2019-12-23,0.001159252412101125,19.28
2019-12-24,-0.006246842424997383,20.0
2019-12-25,0.0009103986353750881,20.26
2019-12-26,0.005408852464213125,20.06
2019-12-27,0.003685907400001293,21.29
2019-12-30,0.0022338326709316564,22.65
2020-01-03,-0.0022699031526568414,22.69
2020-01-06,-0.002166613348899254,22.77
